0.018	1.00	0.15	0.15	0.00	25.68	25.99	25.99
0.018	1.00	0.15	0.15	0.00	11.57	11.84	11.84
0.018	1.00	0.15	0.15	0.00	7.80	7.90	7.90
0.019	1.00	0.15	0.15	0.00	5.77	5.87	5.87
0.020	1.00	0.14	0.14	0.00	5.22	5.28	5.28
0.019	1.00	0.15	0.15	0.00	4.18	4.23	4.23
0.019	1.00	0.16	0.16	0.00	3.52	3.56	3.56
0.022	1.00	0.15	0.15	0.00	3.26	3.30	3.30
0.019	1.00	0.15	0.15	0.00	2.88	2.92	2.92
0.021	1.00	0.15	0.15	0.00	2.21	2.25	2.25
